tick,q1,q2,q3,q4,yaw,pitch,roll,axR,ayR,azR,axW,ayW,azW,temp,Head1,Head2
9810728,0.99,0.01,-0.01,0.13,-14.37,1.28,0.61,5,4,63,2,4,63,35,4,251
9810748,0.99,0.01,-0.01,0.13,-14.37,1.28,0.61,4,0,58,2,0,58,35,4,251
9810775,0.99,0.01,-0.01,0.13,-14.37,1.28,0.61,4,-5,54,4,-4,54,35,4,251
9810802,0.99,0.01,-0.01,0.13,-14.37,1.28,0.61,3,-8,58,3,-7,57,35,4,251
9810828,0.99,0.01,-0.01,0.13,-14.37,1.28,0.61,1,-2,64,0,-2,63,35,4,251
9810855,0.99,0.01,-0.01,0.13,-14.37,1.28,0.61,1,-1,60,0,-1,59,35,4,251
9810882,0.99,0.01,-0.01,0.13,-14.37,1.28,0.61,1,-2,55,0,-2,54,35,4,251
9810909,0.99,0.01,-0.01,0.13,-14.37,1.28,0.61,2,-3,54,1,-3,53,35,4,251
9810935,0.99,0.01,-0.01,0.13,-14.37,1.28,0.60,2,0,46,1,0,46,35,4,251
9810962,0.99,0.01,-0.01,0.13,-14.37,1.28,0.60,-3,-1,50,-3,-2,49,35,4,251
9810989,0.99,0.01,-0.01,0.13,-14.37,1.28,0.60,-2,-1,53,-2,-2,52,35,4,251
9811016,0.99,0.01,-0.01,0.13,-14.37,1.28,0.60,-2,-1,59,-2,-2,58,35,4,251
9811043,0.99,0.01,-0.01,0.13,-14.37,1.27,0.60,-3,-2,57,-3,-3,56,35,4,251
9811071,0.99,0.01,-0.01,0.13,-14.37,1.27,0.60,-1,-3,52,-1,-3,51,35,4,251
9811097,0.99,0.01,-0.01,0.13,-14.37,1.27,0.60,0,-3,54,0,-3,53,35,4,251
9811128,0.99,0.01,-0.01,0.13,-14.38,1.29,0.60,7,-2,57,6,-1,57,35,4,251
9811153,0.99,0.01,-0.01,0.13,-14.38,1.29,0.60,1,-8,59,1,-8,58,35,4,251
9811180,0.99,0.01,-0.01,0.13,-14.38,1.29,0.60,0,-7,64,0,-7,63,35,4,251
